propeval, query, median compile time
lazy, 1, 0.000333
lazy, 2, 0.000394
lazy, 3, 0.000183
lazy, 4, 0.000094
lazy, 5, 0.000289
lazy, 6, 0.000080
lazy, 7, 0.000373
lazy, 8, 0.000337
lazy, 9, 0.000325
lazy, 10, 0.000208
lazy, 11, 0.000240
lazy, 12, 0.000192
lazy, 13, 0.000171
lazy, 14, 0.000106
lazy, 15, 0.000174
lazy, 16, 0.000275
lazy, 17, 0.000148
lazy, 18, 0.000215
lazy, 19, 0.000249
lazy, 20, 0.000301
lazy, 21, 0.000328
lazy, 22, 0.000177
eager, 1, 0.000187
eager, 2, 0.000425
eager, 3, 0.000194
eager, 4, 0.000147
eager, 5, 0.000317
eager, 6, 0.000066
eager, 7, 0.000430
eager, 8, 0.000365
eager, 9, 0.000334
eager, 10, 0.000219
eager, 11, 0.000259
eager, 12, 0.000165
eager, 13, 0.000155
eager, 14, 0.000115
eager, 15, 0.000188
eager, 16, 0.000267
eager, 17, 0.000180
eager, 18, 0.000226
eager, 19, 0.000306
eager, 20, 0.000334
eager, 21, 0.000375
eager, 22, 0.000211
